factor,rank,comp,average,sd,ratio,ava,avb,cumsum
Repro. Status,40,B036,0.0048461,0.009628,0.5033,0,0.26843,0.75648
Repro. Status,41,B097,0.0046342,0.014751,0.3142,0.19335,0,0.76348
Repro. Status,42,B039,0.0041451,0.010039,0.4129,0.0536,0.17257,0.76975
Repro. Status,43,B099,0.0041321,0.010404,0.3972,0.2143,0,0.77599
Repro. Status,44,B037,0.0041154,0.008153,0.5048,0,0.22757,0.78221
Repro. Status,45,B021,0.0040863,0.00728,0.5613,0.1891,0.04336,0.78838
Repro. Status,46,B127,0.0039931,0.008068,0.495,0.2127,0,0.79442
Repro. Status,47,B104,0.0038789,0.010073,0.3851,0.14295,0.05086,0.80028
Repro. Status,48,B006,0.0037953,0.010762,0.3527,0.0781,0.14607,0.80601
Repro. Status,49,B073,0.0037133,0.009482,0.3916,0.09195,0.13229,0.81162
Repro. Status,50,B028,0.0036069,0.010743,0.3358,0.05975,0.15186,0.81707
Repro. Status,51,B107,0.0035989,0.011974,0.3006,0.18835,0,0.82251
Repro. Status,52,B057,0.0035711,0.006968,0.5125,0,0.19807,0.82791
Repro. Status,53,B123,0.0035509,0.008009,0.4433,0.2014,0,0.83327
Repro. Status,54,B051,0.0032693,0.008157,0.4008,0.2038,0,0.83821
Repro. Status,55,B111,0.0031933,0.007785,0.4102,0.09485,0.10257,0.84304
Repro. Status,56,B117,0.003111,0.007636,0.4074,0.1654,0,0.84774
Repro. Status,57,B083,0.0030425,0.007784,0.3909,0.076,0.10821,0.85233
Repro. Status,58,B081,0.0029907,0.006364,0.4699,0.12885,0.05471,0.85685
Repro. Status,59,B069,0.002987,0.008346,0.3579,0.0816,0.08279,0.86137
Repro. Status,60,B020,0.0029836,0.007838,0.3807,0.1828,0,0.86587
Repro. Status,61,B072,0.0029828,0.006276,0.4753,0.08455,0.07864,0.87038
Repro. Status,62,B087,0.0029687,0.007541,0.3937,0.1387,0,0.87487
Repro. Status,63,B065,0.0026906,0.006628,0.406,0.1561,0,0.87893
Repro. Status,64,B086,0.0026557,0.006775,0.392,0.064,0.10957,0.88294
Repro. Status,65,B080,0.0025991,0.006305,0.4122,0.07765,0.06557,0.88687
Repro. Status,66,B066,0.0023182,0.005029,0.4609,0.0355,0.09843,0.89037
Repro. Status,67,B126,0.0022777,0.005341,0.4264,0.08485,0.05221,0.89382
Repro. Status,68,B015,0.0022305,0.008133,0.2743,0,0.12557,0.89719
Repro. Status,69,B008,0.0021763,0.005735,0.3795,0,0.10979,0.90047
Repro. Status,70,B003,0.0020034,0.00732,0.2737,0,0.10171,0.9035
Repro. Status,71,B096,0.0019866,0.004344,0.4574,0.03155,0.08807,0.9065
Repro. Status,72,B053,0.0019527,0.004856,0.4021,0,0.11314,0.90945
Repro. Status,73,B064,0.0019144,0.005464,0.3503,0.0596,0.05107,0.91235
Repro. Status,74,B031,0.0019086,0.006023,0.3169,0.1145,0,0.91523
Repro. Status,75,B118b,0.001848,0.008119,0.2276,0.07955,0,0.91802
Repro. Status,76,B060,0.0017101,0.005445,0.3141,0.09735,0,0.92061
